,Segm,Voltage,WT
111,17,2.8575799465179443,10.0
112,17,2.819930076599121,10.0
113,17,2.8302700519561768,10.0
114,17,2.7658700942993164,10.0
115,17,2.8041300773620605,10.0
116,17,2.7497000694274902,10.0
117,17,2.7451601028442383,10.0
118,17,2.696660041809082,10.0
119,17,2.690809965133667,10.0
120,17,2.558650016784668,10.0
121,17,2.562959909439087,10.0
122,17,2.571150064468384,10.0
123,17,2.4576098918914795,10.0
124,1,0.997527003288269,10.0
125,1,0.8704040050506592,10.0
126,1,1.1302000284194946,10.0
127,1,1.062790036201477,10.0
128,1,1.0241999626159668,10.0
129,1,1.2939200401306152,10.0
130,1,1.2322100400924683,10.0
131,1,1.4205000400543213,10.0
132,1,1.4438899755477905,10.0
133,1,1.6070599555969238,10.0
134,1,1.550469994544983,10.0
135,1,1.6623400449752808,10.0
136,1,1.6706000566482544,10.0
137,1,1.7764500379562378,10.0
138,1,1.7913999557495117,10.0
139,1,1.9176499843597412,10.0
140,1,1.8805299997329712,10.0
141,1,2.042210102081299,10.0
142,1,2.0120699405670166,10.0
143,1,2.1333200931549072,10.0
144,1,2.1093099117279053,10.0
145,1,2.2530200481414795,10.0
146,1,2.1881299018859863,10.0
147,7,2.2185399532318115,10.0
148,7,2.2959799766540527,10.0
149,7,2.3759100437164307,10.0
150,7,2.2723100185394287,10.0
151,7,2.441740036010742,10.0
152,7,2.3299200534820557,10.0
153,7,2.4360198974609375,10.0
154,7,2.4479598999023438,10.0
155,7,2.4284799098968506,10.0
156,7,2.577929973602295,10.0
157,7,2.4755001068115234,10.0
158,7,2.526560068130493,10.0
159,7,2.6381499767303467,10.0
160,7,2.5628199577331543,10.0
161,7,2.752929925918579,10.0
162,7,2.5923399925231934,10.0
163,7,2.7227001190185547,10.0
164,7,2.7475500106811523,10.0
165,7,2.6414899826049805,10.0
166,7,2.7764999866485596,10.0
167,7,2.656090021133423,10.0
168,7,2.7331600189208984,10.0
169,7,2.66621994972229,10.0
170,7,2.7125699520111084,10.0
171,7,2.6505799293518066,10.0
172,7,2.768699884414673,10.0
173,7,2.7064599990844727,10.0
174,7,2.5943100452423096,10.0
175,16,2.5810298919677734,10.0
176,16,2.759200096130371,10.0
177,16,2.5986599922180176,10.0
178,16,2.72625994682312,10.0
179,16,2.665600061416626,10.0
180,16,2.5640299320220947,10.0
181,16,2.7695300579071045,10.0
182,16,2.5383200645446777,10.0
183,16,2.710710048675537,10.0
184,16,2.5208699703216553,10.0
185,16,2.6783499717712402,10.0
186,16,2.4637598991394043,10.0
187,16,2.6185901165008545,10.0
188,16,2.334199905395508,10.0
189,16,2.5259599685668945,10.0
190,17,2.450740098953247,10.0
191,17,2.286530017852783,10.0
192,17,2.541450023651123,10.0
193,17,2.203890085220337,10.0
194,17,2.399440050125122,10.0
195,17,2.3411800861358643,10.0
196,17,2.1849100589752197,10.0
197,17,2.166790008544922,10.0
198,17,2.3436601161956787,10.0
199,17,2.168109893798828,10.0
200,17,2.3229100704193115,10.0
201,17,2.1683499813079834,10.0
202,17,2.315269947052002,10.0
203,17,2.3386600017547607,10.0
204,17,2.3087799549102783,10.0
205,17,2.1780200004577637,10.0
206,17,2.35329008102417,10.0
207,6,2.5251400470733643,10.0
208,12,2.624109983444214,10.0
209,6,2.5007998943328857,10.0
210,12,2.603940010070801,10.0
211,6,2.435379981994629,10.0
212,6,2.410720109939575,10.0
213,6,2.474679946899414,10.0
214,6,2.558180093765259,10.0
215,6,2.192310094833374,10.0
216,6,2.2390799522399902,10.0
217,6,2.0838398933410645,10.0
218,6,2.2605700492858887,10.0
219,6,2.316770076751709,10.0
220,6,2.3651599884033203,10.0
221,12,2.6298398971557617,10.0
222,12,2.5996899604797363,10.0
223,12,2.652440071105957,10.0
224,12,2.6666901111602783,10.0
225,6,2.532020092010498,10.0
226,6,2.5744199752807617,10.0
227,12,2.6513099670410156,10.0
228,12,2.7027900218963623,10.0
229,12,2.6956000328063965,10.0
230,12,2.640739917755127,10.0
231,12,2.702620029449463,10.0
232,12,2.7079501152038574,10.0
233,12,2.752929925918579,10.0
234,12,2.7232000827789307,10.0
235,12,2.7509500980377197,10.0
236,12,2.74003005027771,10.0
237,12,2.7723300457000732,10.0
238,12,2.7888998985290527,10.0
239,12,2.7471799850463867,10.0
240,12,2.764319896697998,10.0
241,12,2.802180051803589,10.0
242,12,2.7995800971984863,10.0
243,12,2.8308799266815186,10.0
244,12,2.8572800159454346,10.0
245,12,2.843830108642578,10.0
246,12,2.8060901165008545,10.0
247,12,2.786410093307495,10.0
248,12,2.8594799041748047,10.0
249,12,2.8535499572753906,10.0
250,12,2.831010103225708,10.0
